Event,Score,Date
論文(10pages以下),1.0,25-01-14 16:27:04
8時起き,1.0,25-01-14 16:27:25
英単語,2.0,25-01-15 11:32:44
8時間勤務,2.0,25-01-15 11:32:56
英単語,2.0,25-01-16 11:51:46
24時以降就寝,-0.5,25-01-16 11:53:30
論文(10pages以上),1.5,25-01-16 15:25:29
英単語,2.0,25-01-17 11:29:00
2時以降就寝,-2.0,25-01-17 11:29:41
英単語,2.0,25-01-19 18:08:16
英単語,2.0,25-01-19 18:08:18
2時以降就寝,-2.0,25-01-19 18:08:29
2時以降就寝,-2.0,25-01-19 18:08:32
10次以降起床,-1.0,25-01-20 11:47:13
1時以降就寝,-1.0,25-01-20 11:47:16
論文(10pages以下),1.0,25-01-20 14:13:56
論文(11~20pages),1.5,25-01-20 15:58:43
論文(~10pages),1.0,25-01-20 18:07:11
1日飯1500円以内,1.0,25-01-20 18:39:51
論文(~10pages),1.0,25-01-20 19:22:49
